dataset_name,size,p,alpha,Structural Perturbation RMSE,Spectral Distance,Standard SVD RMSE
Food_sample1_train,100k,0.05,0.7,0.7469571182768209,0.042856067,0.6996302096354872
Food_sample2_train,100k,0.05,0.7,0.7312198010951003,0.0471317,0.6745127188772276
Food_sample3_train,100k,0.05,0.7,0.7461005194544859,0.050878093,0.6998867242585978
GoodReads_sample1_train,100k,0.05,0.7,0.5396128417202589,0.41504225,0.4191298686759298
GoodReads_sample2_train,100k,0.05,0.7,0.5415599967412464,0.4508303,0.41674698285319073
GoodReads_sample3_train,100k,0.05,0.7,0.533061275560284,0.45471182,0.40056985149509106
KDD2010-algebra2006_2007_sample1_train,100k,0.05,0.7,0.7119636847712808,1.1123945,0.3262379459183777
KDD2010-algebra2006_2007_sample2_train,100k,0.05,0.7,0.7139064018333126,1.23435,0.29519711395345427
KDD2010-algebra2006_2007_sample3_train,100k,0.05,0.7,0.720994986767633,1.0994126,0.3217502081596033
ModCloth_sample1_train,100k,0.05,0.7,0.5716167677691154,0.051903605,0.44745964582547487
ModCloth_sample2_train,100k,0.05,0.7,0.5716167677691154,0.051903605,0.44745964582547487
ModCloth_sample3_train,100k,0.05,0.7,0.5716167677691154,0.051903605,0.44745964582547487
RateBeer_sample1_train,100k,0.05,0.7,0.6948923403259998,0.38138828,0.4033670198712933
RateBeer_sample2_train,100k,0.05,0.7,0.6959390346807902,0.34757003,0.40474007727254097
RateBeer_sample3_train,100k,0.05,0.7,0.6900300217242793,0.44051805,0.4122367503077635
RentTheRunway_sample1_train,100k,0.05,0.7,0.7502862576711866,0.02247546,0.7306367216276493
RentTheRunway_sample2_train,100k,0.05,0.7,0.7502862576711866,0.02247546,0.7306367216276493
RentTheRunway_sample3_train,100k,0.05,0.7,0.7502862576711866,0.02247546,0.7306367216276493
Twitch-100k_sample1_train,100k,0.05,0.7,0.6937228150833281,0.110560715,0.6587571344306326
Twitch-100k_sample2_train,100k,0.05,0.7,0.6928764358407061,0.11731043,0.6562923146780327
Twitch-100k_sample3_train,100k,0.05,0.7,0.6925326070458958,0.11487519,0.6564432235783563
anime_sample1_train,100k,0.05,0.7,0.555085287888682,0.13390048,0.4898904969741947
anime_sample2_train,100k,0.05,0.7,0.5632259260510106,0.12090399,0.4995317208390328
anime_sample3_train,100k,0.05,0.7,0.5560845341766955,0.13573514,0.4866425272912758
book-crossing_sample1_train,100k,0.05,0.7,0.4964656321415464,0.401682,0.4208516309894688
book-crossing_sample2_train,100k,0.05,0.7,0.4990812251162741,0.40443838,0.41308830239058963
book-crossing_sample3_train,100k,0.05,0.7,0.4990190361346482,0.43940806,0.43049921517630674
