dataset,Sample,mrr@10,ndcg@10,precision@10,recall@10,rmse,sparsity,effective_rank,norm_rmse,spectral_distance,rmse_svd
douban,3,0.1492,0.2131,0.0436,0.4291,0.7193823396256945,0.9098718060521496,0.9764606671134296,1.6669554085808802,0.9435702562332152,0.4315546390278803
epinions,1,0.0846,0.1121,0.0205,0.2039,0.7081779749045165,0.999632308489564,0.9978772067133888,1.0615278587667294,0.0632520839571952,0.6671308426396546
epinions,2,0.0846,0.1121,0.0205,0.2039,0.7081779749045165,0.999632308489564,0.9978772067133888,1.0615278587667294,0.0632520839571952,0.6671308426396546
epinions,3,0.0846,0.1121,0.0205,0.2039,0.7081779749045165,0.999632308489564,0.9978772067133888,1.0615278587667294,0.0632520839571952,0.6671308426396546
jester,1,0.2488,0.284,0.0806,0.5198,0.695379618287715,0.811733999092147,0.972805819597221,1.943103271376256,0.5950196981430054,0.3578706435892074
jester,2,0.2368,0.2755,0.08,0.5055,0.6897700934654755,0.8115751248297776,0.9737072594800102,1.9668296276355923,0.6321359276771545,0.35070149634398
jester,3,0.2426,0.2824,0.0814,0.5229,0.6898014172258802,0.8115388107126645,0.9735537253042968,1.9284436379385304,0.5742487907409668,0.3576985106825651
lastfm,1,0.4533,0.4024,0.1202,0.5307,0.6747846807448206,0.9964186749372648,0.9864217002506468,1.1776705124246245,0.3106061220169067,0.5729825733307637
lastfm,2,0.4595,0.4081,0.1215,0.5379,0.6736766921451469,0.9964270761839396,0.986409220420694,1.1740864192214082,0.3332105875015259,0.5737879947473488
lastfm,3,0.4526,0.3973,0.1175,0.5203,0.6740489210972592,0.9964364222236938,0.9866290704698254,1.1751055310303524,0.3290248811244964,0.5736071385063107
ml-1m,1,0.1707,0.1351,0.0527,0.1937,0.6708212951109177,0.9767861923244704,0.984020999765808,1.4603867099958845,0.739382803440094,0.4593449738479256
ml-1m,2,0.1794,0.1424,0.06,0.2116,0.6622133426565202,0.9761601267379686,0.9826214400354992,1.4601425558028285,0.7636906504631042,0.453526499878237
ml-1m,3,0.1626,0.1369,0.058,0.213,0.6639631758067326,0.9771193984663422,0.9830700405699816,1.4520913129889934,0.7216583490371704,0.4572461592928524
netflix,1,0.1729,0.1374,0.0587,0.1967,0.6858182625333356,0.9828670051968345,0.984486491506707,1.576689177206471,0.8114781975746155,0.4349736602799843
netflix,2,0.2036,0.1608,0.072,0.2237,0.679594077343642,0.9831385673421376,0.9828362579937,1.5784607602238006,0.7942114472389221,0.4305422690693219
netflix,3,0.1943,0.1644,0.0624,0.2389,0.6849685142061057,0.9835698154526996,0.9846499359289728,1.5611800571991097,0.8122437000274658,0.4387504894438619
pinterest,1,0.305,0.3803,0.0696,0.6471,0.6960347528427303,0.9986574935348916,0.9967275327298976,1.0537958859967969,0.196663498878479,0.6605024389370656
pinterest,2,0.3204,0.3958,0.0713,0.6594,0.6961049910642753,0.9986594867001016,0.996740123026067,1.052452439087006,0.1797894984483719,0.6614123025532068
pinterest,3,0.323,0.4016,0.0733,0.6769,0.696463286229798,0.9986663275587352,0.996524867172077,1.055322083460808,0.2084501236677169,0.6599532949654825
steam,1,0.3138,0.3707,0.0604,0.5757,0.7063991819490921,0.9989073260828986,0.987842380649918,1.2350491214715424,0.4622401893138885,0.5719603938565845
steam,2,0.2996,0.3578,0.059,0.5635,0.7061347124644255,0.9989217022175432,0.9883259519535282,1.238156115179726,0.4807775020599365,0.5703115332608325
steam,3,0.3057,0.3635,0.0598,0.5736,0.7058657529254627,0.9988987353622434,0.9884090477066044,1.2380104580347553,0.4779945611953735,0.5701613813876576
yahoo-music,1,0.462,0.4576,0.1228,0.6503,0.6548263002080886,0.9925472569150732,0.9841989890518922,1.388271527693575,0.4047564566135406,0.4716845999831126
yahoo-music,2,0.4666,0.472,0.1238,0.6836,0.6670169406838485,0.993434048092145,0.983435529066136,1.4393697805410255,0.3606172204017639,0.4634090208793548
yahoo-music,3,0.4822,0.475,0.1279,0.6762,0.6588034453237087,0.9929203233274532,0.9826469424489752,1.4276511792906883,0.3740418553352356,0.4614596722786496
yelp2022,1,0.2475,0.2928,0.0498,0.4576,0.7031672570987937,0.9997082729914212,0.996484259008482,1.093574544164452,0.1062637791037559,0.6429989257257722
yelp2022,2,0.2422,0.2833,0.0483,0.4387,0.7033198828299962,0.999711567157378,0.9915156008631738,1.0996602661411212,0.0847063809633255,0.6395792450499781
yelp2022,3,0.2446,0.2871,0.0494,0.4455,0.7039034031546856,0.9997120254862444,0.9961535924438852,1.0921674510911696,0.0968084558844566,0.644501355951805
